number,word,definition
1,abate,to lessen in intensity or degree
2,aberrant,deviating from the norm
3,abjure,to renounce or reject solemnly
4,abrogate,to repeal; to revoke
5,abstemious,eating and drinking in moderation
6,accolade,an expression of praise
7,acerbic,having a sour or bitter taste. sharp and forthright
8,acumen,"quick, keen, or accurate knowledge or insight"
9,admonish,to reprove; to express warning or disapproval
10,adroit,adept; dexterous
11,adulation,excessive praise; intense adoration
12,adulterate,to reduce purity by combining with inferior ingredients
13,aesthetic,"dealing with, appreciative of, or responsive to art or beauty"
14,aggrandize,"to increase in intensity, power, or prestige"
15,alacrity,eager and enthusiastic willingness
16,alchemy,a medieval science aimed to transmute metals into gold
17,amalgamate,to combine several elements into a whole
18,amenable,aggreable; responsive to suggestion
19,anachronistic,out of place in terms of historical or chronological context
20,anathema,a solemn or ecclesiastical (religious) curse; a cursed or thoroughly loathed person or thing
21,anomaly,"deviation from the normal order, form, or rule; abnormality"
22,antipathy,aversion; dislike
23,antithetical,diametrically opposed; as in antithesis
24,apocryphal,of dupious authenticity or origin; spurious
25,apogee,farthest or highest point; culmination; zenith
26,apostate,one who abandons log
27,apotheosis,deification; supreme example
28,apposite,appropriate; pertinent; relevent; suitable
29,apprise,to give notice to; to inform; notify
30,approbation,an expression of approval or praise
31,arcane,mysterious; esoteric
32,arabesque,"a complex, ornate design; also a dance position"
33,archaic,outdated; associated with an earlier perhaps more primitive time
34,artless,completely without guile; unsophisticated
35,ascetic,someone practicing self
36,aspersion,an act of defamation or maligning; slander
37,assay,to put to a test
38,assiduous,diligent; hard
39,assuage,to ease or lessen; to appease or pacify
40,astringent,biting; severe
41,atrophy,to waste away or deteriorate
42,attenuate,to weaken or make thinner
43,audacious,daring and fearless; recklessly bold
44,augury,omen; potent; indication
45,auspices,protection or support
46,auspicious,favorable
47,avarice,"greed, especially for wealth"
48,aver,to state as fact; to confirm or support
49,baleful,sinister; ominous
50,beatify,"to bless, make happy, or ascribe a virtue to"
51,behemoth,something enormous; a gigantic creature
52,beleaguer,to beset; to beseige
53,belie,to give a false impression of
54,bellicose,belligerant; warlike
55,boisterous,loud; noisy; lacking restraint
56,bolster,to provide support
57,bombast,self
58,boor,a rude or insensitive person
59,burgeon,to grow rapidly or flourish
60,burnish,to make smooth; to rub to a shine
61,byzantine,labyrinthine; complex
62,cabal,a scheme or plot; a group of plotters
63,cachinnate,to laugh loudly
64,cacophony,"harsh, jarring, discordant sound; dissonance"
65,cajole,to inveigle; to coax through flattery
66,calumny,slander
67,calumniate,to slander
68,canon,"an established set of principles or code of laws, often religious in nature"
69,capricious,inclined to change one's mind impulsively or unpredictably
70,captious,calculated to confuse or entrap in argument
71,castigate,to severely criticize or punish
72,catalyst,a substance that accelerates the rate of a chemical reaction without changing; a person who causes change
73,caustic,"burning or stinging, causing corrosion"
74,celerity,speed
75,censure,to criticize severly; to officially rebuke
76,chary,"wary; cautious, sparing"
77,chasten,to restrain or correct
78,chauvinist,a blindly devoted patriot
79,chicanery,trickery or subterfuge
80,chimera,"an illusion; originally, an imaginary fire"
81,churlish,vulgar; difficult and intractable
82,coalesce,to come together or unite
83,coda,a concluding section of a musical or literary piece
84,cogent,appealing forcibly to the mind or reason; convincing
85,commensurate,"matching; corresponding in degree, size, or amount"
86,complaisance,the willingness to comply with the wishes of others
87,connoisseur,an informed and astute judge in matters of taste; expert
88,contiguous,sharing a border; touching; adjacent
89,contrite,"regretful, penitent; seeking forgiveness"
90,convention,a generally agreed
91,corrigible,capable of being set right; correctable
92,cosset,to coddle
93,countenance,to approve of or tolerate
94,cozen,"to deceive, beguile, or hoodwink"
95,craven,contemptibly fainthearted; lacking any courage
96,credulous,tending to believe too readily
97,crestfallen,dejected; disappointed
98,curmudgeon,"an irritable, ill"
99,cursory,hasty; done with little attention
100,cynicism,an attitude or quality of belief that all people are motivated by selfishness
101,daunt,to cow or dismay; to make (someone) feel intimdated or apprehensive
102,dearth,smallness of quantity or number; scarcity; a lack
103,debacle,rouse; fiasco; complete failure; a sudden and ignominious failure
104,decorous,correct; formal; marked by decorum
105,decorum,polite or appropriate conduct or behavior
106,demur,to question or oppose
107,denigrate,to belittle; to defame
108,denizen,inhabitant; one who frequents a place
109,denouement,an outcome or solution; the unraveling of a plot
110,deposition,official testimony
111,deprecate,to disparage or put down
112,derision,scorn; ridicule; contemptuous treatment
113,derivative,unoriginal; obtained from another source
114,descry,to observe or discern
115,desecrate,to violate the sanctity of
116,desiccate,to dry out; to make dull or dry
117,desuetude,the state of not being used
118,desultory,random; disconnected
119,detraction,"slandering, verbal attack; aspersion"
120,diaphanous,transparent; gauzy; translucent
121,diatribe,a harsh denunciation; fulmination
122,didactic,intended to teach or instruct
123,diffident,reserved; shy; lacking in self
124,dilatory,causing delay
125,dilettante,one with an amateurish or superficial interest in the arts or branch of knowledge
126,din,"loud, sustained sounds"
127,dirge,a song or poem of grief
128,discomfit,to embarrass or perplex; make (someone) feel uneasy or embarrassed
129,discordant,conflicting; dissonant or harsh in sound
130,discretion,cautious or reserve in speech; ability to make responsible decisions
131,discursive,digressive; passing from one topic to another
132,disinterested,"unbiased, neutral, or free from personal motive"
133,disparage,to slight or belittle
134,disparate,fundamentally distinct or dissimilar
135,dissemble,to disguise or conceal; to mislead
136,distention,the state or act of extending or being swollen out of shape
137,divulge,to disclose something secret
138,doggerel,trivial or poorly constructed verse; limerick
139,dogmatic,stubbornly opinionated
140,dormant,inactive; in abeyance
141,dross,slag; worthless matter; impurity
142,dulcet,melodious; pleasant
143,dynamo,"generator; forceful, energetic person"
144,ebullience,the quality of lively or enthusiastic expression of thoughts and feelings
145,eccentric,departing from norms or conventions
146,eclectic,culled from many sources
147,edifying,enlightening
148,effluvium,"an unpleasant or harmful odor, secretion, or discharge"
